ds;y
2016-01-07;402
2016-01-08;964
2016-01-09;623
2016-01-10;673
2016-01-11;13004
2016-01-12;13179
2016-01-13;13812
2016-01-14;14298
2016-01-15;14270
2016-01-16;1423
2016-01-17;962
2016-01-18;16336
2016-01-19;16928
2016-01-20;16260
2016-01-21;11402
2016-01-22;11607
2016-01-23;995
2016-01-24;679
2016-01-25;13080
2016-01-26;7972
2016-01-27;7236
2016-01-28;6997
2016-01-29;6232
2016-01-30;393
2016-01-31;328
2016-02-01;6811
2016-02-02;7150
2016-02-03;7284
2016-02-04;7333
2016-02-05;6418
2016-02-06;654
2016-02-07;575
2016-02-08;7918
2016-02-09;7724
2016-02-10;7748
2016-02-11;7523
2016-02-12;7024
2016-02-13;410
2016-02-14;364
2016-02-15;8916
2016-02-16;9105
2016-02-17;8189
2016-02-18;7199
2016-02-19;7243
2016-02-20;4903
2016-02-21;279
2016-02-22;350
2016-02-23;266
2016-02-24;7237
2016-02-25;7338
2016-02-26;6818
2016-02-27;493
2016-02-28;394
2016-02-29;7376
2016-03-01;7501
2016-03-02;7284
2016-03-03;7358
2016-03-04;5538
2016-03-05;390
2016-03-06;215
2016-03-07;285
2016-03-08;218
2016-03-09;7789
2016-03-10;8418
2016-03-11;7973
2016-03-12;665
2016-03-13;469
2016-03-14;9082
2016-03-15;9030
2016-03-16;9245
2016-03-17;9421
2016-03-18;8587
2016-03-19;794
2016-03-20;696
2016-03-21;9711
2016-03-22;9922
2016-03-23;9906
2016-03-24;10603
2016-03-25;9689
2016-03-26;904
2016-03-27;710
2016-03-28;10681
2016-03-29;10626
2016-03-30;10728
2016-03-31;9512
2016-04-01;7799
2016-04-02;604
2016-04-03;455
2016-04-04;8278
2016-04-05;9248
2016-04-06;9344
2016-04-07;9427
2016-04-08;8980
2016-04-09;625
2016-04-10;572
2016-04-11;10925
2016-04-12;11312
2016-04-13;11789
2016-04-14;11783
2016-04-15;11753
2016-04-16;919
2016-04-17;782
2016-04-18;13221
2016-04-19;14272
2016-04-20;13807
2016-04-21;11029
2016-04-22;10956
2016-04-23;796
2016-04-24;731
2016-04-25;12199
2016-04-26;8086
